ستاره بارسلونا؛ گزینه جدید یورگن کلوپ,عثمان دمبله، وینگر فرانسوی بارسلونا مورد توجه لیورپول قرار گرفته است.,"به گزارش ""ورزش سه""، لیورپول قصد دارد در فصل تابستان امسال خط حمله تیمش را تقویت کند و نام های زیادی در این خصوص مطرح شده است. گزینه مورد علاقه یورگن کلوپ را باید تیمو ورنر، مهاجم آلمانی و گلزن لایپزیش دانست، اما باشگاه آلمانی 53 میلیون پوند برای فروش ورنر تقاضا کرده و لیورپول فعلا از جذب او منصرف شده است.

اما نشریه موندو دیپورتیوو مدعی شد در صورت عدم موفقیت در جذب تیمو ورنر، مرسی سایدی ها برای خرید عثمان دمبله اقدام خواهند کرد. دمبله در این سه فصل حضور در بارسلونا نمایش چندان موفقی نداشته و بازی های زیادی را به علت مصدومیت های مختلف از دست داده است.

مشکلات مالی اخیر باعث شده بارسلونا مشکلی برای فروش عثمان دمبله نداشته باشد و حتی اخباری مبنی بر پذیرش پیشنهادی 40 میلیون یورویی برای انتقال ستاره فرانسوی از سوی بارسا نیز شنیده شده است. بارسلونا به دنبال جذب یک گزینه جدید در بخش هجومی است و نام ستاره هایی چون لائوتارو مارتینز یا نیمار در این خصوص مطرح شده است. در صورت ورود یک بازیکن جدید، شرایط برای عثمان دمبله در مسیر قرار گرفتن در ترکیب ثابت بلوگرانا دشوارتر از قبل خواهد شد و ممکن است آنها با لیورپول برای فروش این ستاره جوان به توافق دست یابند."
پیشنهاد جذاب PSG برای جذب ستاره لاتزیو,به نظر می‌رسد که پاری سن ژرمن ۶۰ میلیون یورو برای جذب سرگی میلینکوویچ ساویچ از پاری سن ژرمن اقدام خواهد کرد.,"به گزارش ""ورزش سه""، حالا حدود ۵ سال از حضور هافبک صربستانی یعنی سرگی میلینکوویچ ساویچ در سری آ و باشگاه لاتزیو می گذارد. این هافبک ۲۵ ساله طی فصول گذشته یکی از بهترین بازیکنان لاتزیو بوده و همواره نمایش های درخشانی ارائه داده است.

 میلینکوویچ ساویچ در فصل جاری رقابت‌های سری آ نیز یکی از بهترین بازیکنان تیم اینزاگی بوده و در ۲۵ بازی برای این تیم آمار ۴ گل و ۴ پاس گل را به ثبت رسانده است. این هافبک صربستانی طی یکی دو فصل اخیر مورد توجه تیم‌های بزرگ مثل رئال مادرید و یوونتوس قرار گرفته اما نهایتا در لاتزیو ماندگار شده است.

اگرچه هافبک ۲۷ ساله لاتزیو تا سال ۲۰۲۴ با این تیم قرارداد دارد اما با این حال گفته می‌شود که پاری سن ژرمن به شدت شرایط جذب این بازیکن را دنبال می‌کند. حالا و در همین رابطه le10sport مدعی شده که باشگاه فرانسوی قصد دارد برای تقویت خط هافبک خود ساویچ را به خدمت بگیرد و در این راستا نیز می خواهد یک پیشنهاد جذاب و ۶۰ میلیون یورویی به لاتزیو را ارائه دهد."
